sentence,sentiment,tokenized_sentence
meeting 3 pm,Neutral,"['meeting', '3', 'pm']"
wearing blue shirt,Neutral,"['wearing', 'blue', 'shirt']"
cat sat windowsill,Neutral,"['cat', 'sat', 'windowsill']"
wrote note journal,Neutral,"['wrote', 'note', 'journal']"
went walk,Neutral,"['went', 'walk']"
book table,Neutral,"['book', 'table']"
made tea kitchen,Neutral,"['made', 'tea', 'kitchen']"
lights turned,Neutral,"['lights', 'turned']"
saw bird outside window,Neutral,"['saw', 'bird', 'outside', 'window']"
closed door quietly,Neutral,"['closed', 'door', 'quietly']"
looked watch,Neutral,"['looked', 'watch']"
class starts 10,Neutral,"['class', 'starts', '10']"
discussed schedule,Neutral,"['discussed', 'schedule']"
ordinary tuesday,Neutral,"['ordinary', 'tuesday']"
reading novel,Neutral,"['reading', 'novel']"
watered plants today,Neutral,"['watered', 'plants', 'today']"
mail arrived morning,Neutral,"['mail', 'arrived', 'morning']"
pen floor,Neutral,"['pen', 'floor']"
printer ink,Neutral,"['printer', 'ink']"
watching documentary,Neutral,"['watching', 'documentary']"
tied hair bun,Neutral,"['tied', 'hair', 'bun']"
road slightly busy,Neutral,"['road', 'slightly', 'busy']"
answered phone call,Neutral,"['answered', 'phone', 'call']"
took notes lecture,Neutral,"['took', 'notes', 'lecture']"
lunch cafeteria,Neutral,"['lunch', 'cafeteria']"
sky mostly cloudy,Neutral,"['sky', 'mostly', 'cloudy']"
wore red scarf,Neutral,"['wore', 'red', 'scarf']"
typed email boss,Neutral,"['typed', 'email', 'boss']"
arrived time,Neutral,"['arrived', 'time']"
parked car outside,Neutral,"['parked', 'car', 'outside']"
turned alarm,Neutral,"['turned', 'alarm']"
keys shelf,Neutral,"['keys', 'shelf']"
switched lights,Neutral,"['switched', 'lights']"
cleaned house together,Neutral,"['cleaned', 'house', 'together']"
carried bag,Neutral,"['carried', 'bag']"
clock struck twelve,Neutral,"['clock', 'struck', 'twelve']"
sat newspaper,Neutral,"['sat', 'newspaper']"
